Beat,CRIME_TYPE,CRIME_DESCRIPTION,STAT_VALUE,REPORT_DATE,Sector,Precinct,Row_Value_ID
B2,Homicide,Homicide,0,01/01/2008,B,N,8
B2,Rape,Rape,0,01/01/2008,B,N,9
B2,Robbery,Robbery,2,01/01/2008,B,N,10
B2,Assault,Assault,0,01/01/2008,B,N,11
B2,Larceny-Theft,Larceny-Theft,40,01/01/2008,B,N,12
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",9,01/01/2008,B,N,13
B2,Burglary,Burglary,12,01/01/2008,B,N,14
B2,Homicide,Homicide,0,02/01/2008,B,N,365
B2,Rape,Rape,0,02/01/2008,B,N,366
B2,Robbery,Robbery,1,02/01/2008,B,N,367
B2,Assault,Assault,4,02/01/2008,B,N,368
B2,Larceny-Theft,Larceny-Theft,38,02/01/2008,B,N,369
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,02/01/2008,B,N,370
B2,Burglary,Burglary,8,02/01/2008,B,N,371
B2,Homicide,Homicide,0,03/01/2008,B,N,722
B2,Rape,Rape,0,03/01/2008,B,N,723
B2,Robbery,Robbery,0,03/01/2008,B,N,724
B2,Assault,Assault,0,03/01/2008,B,N,725
B2,Larceny-Theft,Larceny-Theft,38,03/01/2008,B,N,726
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,03/01/2008,B,N,727
B2,Burglary,Burglary,9,03/01/2008,B,N,728
B2,Homicide,Homicide,0,04/01/2008,B,N,1079
B2,Rape,Rape,1,04/01/2008,B,N,1080
B2,Robbery,Robbery,4,04/01/2008,B,N,1081
B2,Assault,Assault,1,04/01/2008,B,N,1082
B2,Larceny-Theft,Larceny-Theft,36,04/01/2008,B,N,1083
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,04/01/2008,B,N,1084
B2,Burglary,Burglary,7,04/01/2008,B,N,1085
B2,Homicide,Homicide,0,05/01/2008,B,N,1436
B2,Rape,Rape,1,05/01/2008,B,N,1437
B2,Robbery,Robbery,1,05/01/2008,B,N,1438
B2,Assault,Assault,3,05/01/2008,B,N,1439
B2,Larceny-Theft,Larceny-Theft,48,05/01/2008,B,N,1440
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,05/01/2008,B,N,1441
B2,Burglary,Burglary,15,05/01/2008,B,N,1442
B2,Homicide,Homicide,0,06/01/2008,B,N,1793
B2,Rape,Rape,-1,06/01/2008,B,N,1794
B2,Robbery,Robbery,2,06/01/2008,B,N,1795
B2,Assault,Assault,1,06/01/2008,B,N,1796
B2,Larceny-Theft,Larceny-Theft,38,06/01/2008,B,N,1797
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,06/01/2008,B,N,1798
B2,Burglary,Burglary,16,06/01/2008,B,N,1799
B2,Homicide,Homicide,0,07/01/2008,B,N,2150
B2,Rape,Rape,0,07/01/2008,B,N,2151
B2,Robbery,Robbery,1,07/01/2008,B,N,2152
B2,Assault,Assault,3,07/01/2008,B,N,2153
B2,Larceny-Theft,Larceny-Theft,42,07/01/2008,B,N,2154
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",10,07/01/2008,B,N,2155
B2,Burglary,Burglary,11,07/01/2008,B,N,2156
B2,Homicide,Homicide,0,08/01/2008,B,N,2507
B2,Rape,Rape,0,08/01/2008,B,N,2508
B2,Robbery,Robbery,0,08/01/2008,B,N,2509
B2,Assault,Assault,0,08/01/2008,B,N,2510
B2,Larceny-Theft,Larceny-Theft,27,08/01/2008,B,N,2511
